ID,melanin_level,Devo_Day,Treatment,Day in,Time in,Time out,Total time,Chamber_Humidty,Chamber Temp- MIN,Chamber temp- MAX,Avg_Temp,before_mass,after_mass,frass_mass,delta_mass,percent_mass_change,before_osmo,after_osmo,delta_osmo,Exp Notes,gray_value_R,gray_value_G,gray_value_B,mean_gray_value,melanin_percent_R,melanin_percent_G,melanin_percent_B,mean_melanin_percent,,,,,,,
D001,min,19,S,8/15/22,6:02 PM,10:02 AM,16,7-10%,37,37,37,5.58,5.01,0.09,0.66,0.11827957,,,,,21.889,18.762,18.867,19.83933333,28.634,21.02,24.335,24.663,,,,,,,
D002,max,19,C,8/15/22,6:02 PM,10:02 AM,16,7-10%,37,37,37,4.53,4.09,0.04,0.48,0.105960265,,,,,12.143,12.312,11.828,12.09433333,79.752,79.722,82.598,80.69066667,,,,,,,
D003,min,19,S,8/15/22,6:02 PM,10:02 AM,16,7-10%,37,37,37,3.57,3.23,0.04,0.38,0.106442577,,,,,22.576,19.759,19.896,20.74366667,9.732,7.191,8.748,8.557,,,,,,,
D006,max,19,C,8/15/22,6:02 PM,10:02 AM,16,7-10%,37,37,37,4.62,4.02,0.05,0.65,0.140692641,,,,,13.065,13.376,13.01,13.15033333,72.156,72.778,75.868,73.60066667,,,,,,,
D007,mn,19,S,8/15/22,6:02 PM,10:02 AM,16,7-10%,37,37,37,5.4,4.85,0.02,0.57,0.105555556,,,,,19.224,17.707,17.219,18.05,13.589,11.214,12.72,12.50766667,,,,,,,
D009,max,19,C,8/15/22,6:02 PM,10:02 AM,16,7-10%,37,37,37,5.15,4.7,0.05,0.5,0.097087379,,,,,14.331,14.553,13.92,14.268,67.586,66.978,70.253,68.27233333,,,,,,,
D010,min,19,S,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,3.34,2.74,0,0.6,0.179640719,392,354,-38,Lots of vomit,21.692,18.31,18.243,19.415,9.498,6.516,8.116,8.043333333,,,,,,,
D011,min,18,S,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,5.55,4.32,0,1.23,0.221621622,376,389,13,,21.14,18.01,17.616,18.922,12.513,9.346,11.496,11.11833333,,,,,,,
D012,min,19,S,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,4.95,4.43,0,0.52,0.105050505,372,398,26,,19.716,18.974,18.864,19.18466667,11.609,10.671,12.922,11.734,,,,,,,
D013,max,18,C,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,3.17,2.45,0,0.72,0.227129338,340,350,10,,12.792,12.583,11.16,12.17833333,88.394,88.875,90.305,89.19133333,,,,,,,
D014,med,18,C,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,3.57,2.69,0.03,0.91,0.254901961,361,385,24,,14.16,13.945,14.104,14.06966667,63.145,61.012,67.854,64.00366667,,,,,,,
D015,max,19,C,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,2.82,2.12,0.01,0.71,0.25177305,,,,Lots of toruble getting hemo; maybe in freezer for too long ,13.812,13.608,12.443,13.28766667,76.95,78.119,82.242,79.10366667,,,,,,,
D016,max,19,C,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,2.51,2.07,0,0.44,0.175298805,369,412,43,,12.841,12.825,11.913,12.52633333,83.604,84.601,87.662,85.289,,,,,,,
D017,min,18,S,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,4.61,3.98,0.01,0.64,0.138828633,377,402,25,,18.763,18.653,17.598,18.338,17.252,16.716,19.394,17.78733333,,,,,,,
D018,med,19,C,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,4.17,3.43,0.04,0.78,0.18705036,351,350,-1,,14.03,13.792,13.16,13.66066667,45.854,44.928,48.621,46.46766667,,,,,,,
D019,med,18,S,8/16/22,7:11-7:52 AM,11:11-11:53 AM,16,7-10%,37,37,37,5.02,4.25,0.01,0.78,0.155378486,356,369,13,,14.725,14.575,14.468,14.58933333,44.334,43.527,48.04,45.30033333,,,,,,,
D030,med,19,C,8/24/22,8:16 AM,12:16 PM,16,7-10%,38.1,38.7,38.4,5.25,4.84,0.043,0.453,0.086285714,,,,,17.177,15.17,15.068,15.805,60.356,52.054,57.363,56.591,,,,,,,
D031,med,19,C,8/24/22,8:16 AM,12:16 PM,16,7-10%,38.1,38.7,38.4,5.04,4.66,0.018,0.398,0.078968254,,,,,18.616,16.123,17.126,17.28833333,42.845,35.059,42.463,40.12233333,,,,,,,
D032,max,19,C,8/24/22,8:16 AM,12:16 PM,16,7-10%,38.1,38.7,38.4,2.35,2.11,0.006,0.246,0.104680851,,,,,13.71,13.889,13.262,13.62033333,80.219,80.845,83.989,81.68433333,,,,,,,
D033,med,19,C,8/24/22,8:16 AM,12:16 PM,16,7-10%,38.1,38.7,38.4,6.19,5.56,0.043,0.673,0.108723748,,,,,18.129,16.751,17.108,17.32933333,40.778,35.748,42.289,39.605,,,,,,,
D034,max,18,S,8/24/22,8:16 AM,12:16 PM,16,7-10%,38.1,38.7,38.4,2.77,2.53,0.0036,0.2436,0.087942238,,,,,12.753,13.081,12.513,12.78233333,83.898,84.482,86.984,85.12133333,,,,,,,
D035,min,19,S,8/24/22,8:16 AM,12:16 PM,16,7-10%,38.1,38.7,38.4,4.95,4.38,0.009,0.579,0.116969697,,,,,25.636,19.966,23.284,22.962,22.411,8.744,14.348,15.16766667,,,,,,,
